﻿"編號","報修日期","完成日期","當前狀態","報價進度","歸檔狀態","負責工程師","客戶名稱","機型","時效(天)","聯絡人","電話","地址","保固","問題狀況","其他詳細資訊"
"T-4233","2026-06-04","2026-06-23","取消叫修","","已封存","陳柏凱 Kevin","全家-葵爾特店","ICP XS / E60SJ22103006101","5","","","","","叫修：","叫修： 1.客戶名稱/經銷：全家-葵爾特店 2.統編： 3.聯絡人：林小姐 4.聯絡電話號碼：0225960017 5.地址：台北市中山區中山北路三段４５之１號１樓 6.機型/機號：E60SJ22103006101 7.保固與否：否 8.故障問題：Rational智能蒸烤爐螢幕一直跳來跳去、沒有烹烤卻顯示需將前面烘烤作業完成，營業時間07-22"
"T-3868","2026-06-05","2026-06-22","完修","","已封存","邱信豪 Mars","全家-京萬店 (代碼36 專案)","XS","5","","","","","代碼36 專案","代碼36 專案"
"T-0431","2026-06-05","2026-06-17","完修","","已封存","邱信豪 Mars","全家-新豐新庄 (代碼36 專案)","XS","5","","","","","代碼36 專案","代碼36 專案"
"T-7787","2026-06-04","2026-06-04","完修","","已封存","邱信豪 Mars","全家-中和華夏 (代碼36 專案)","XS","5","","","","","代碼36 專案","代碼36 專案"
"T-9761","2026-06-05","2026-06-16","完修","","已封存","邱信豪 Mars","全家-平鎮壢新 (代碼36 專案)","XS","5","","","","","代碼36 專案","代碼36 專案"
"T-1728","2026-05-19","2026-07-02","完修","","已封存","邱信豪 Mars","全家-中和金原 (代碼36 專案)","XS","5","","","","","代碼36 專案","代碼36 專案"
"T-2767","2026-05-29","2026-06-05","報價","未報價","處理中","楊棟嘉 Ken","小弗奇餐坊","真空包裝機","5","","","","","無法抽真空","無法抽真空"
"T-7156","2026-06-05","2026-06-16","完修","","已封存","陳祐嘉 Dean","薩利亞桃園大全聯-優仕咖啡","A400","11","","","","","優仕咖啡-6/16上午10:30 A400裝機+牛奶冰箱 薩莉亞桃園大全聯店 裝機地址：桃園市中壢區中北路二段468號 B1  設備由優仕自行送至門市 此筆為新機安裝故已收費","優仕咖啡-6/16上午10:30 A400裝機+牛奶冰箱 薩莉亞桃園大全聯店 裝機地址：桃園市中壢區中北路二段468號 B1  設備由優仕自行送至門市 此筆為新機安裝故已收費"
"T-8132","2026-05-19","2026-05-19","完修","","已封存","邱信豪 Mars","全家-八德重慶 (代碼36 專案)","XS","5","","","","","代碼36專案","代碼36專案"
"T-8038","2026-06-05","2026-06-09","完修","","已封存","陳柏凱 Kevin","欣光食品","SCC 202","5","","","","","1.客戶名稱/經銷：欣光食品","1.客戶名稱/經銷：欣光食品 2.統編： 3.聯絡人：劉先生 4.聯絡電話號碼：0926811571 5.地址：320桃園市中壢區南園路2-20號 6.機型/機號：SCC 202 7.保固與否：過保 8.故障問題：蒸氣產生不足，食物煮不熟（副總本週四有去現場確認過）"
